action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,34309,[],CHEMBL815474,Binding affinity against human trypsin,B,,,BAO_0000190,BAO_0000224,protein format,Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1-n1ccccc1=O,,,CHEMBL1146806,Bioorg Med Chem Lett,2004,,CHEMBL337921,,CHEMBL337921,,0,http://www.openphacts.org/units/Nanomolar,235713,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2095204,Homo sapiens,Trypsin,9606,,,IC50,uM,UO_0000065,,10.0
,,34315,[],CHEMBL815474,Binding affinity against human trypsin,B,,,BAO_0000190,BAO_0000224,protein format,Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1N1CCOCC1=O,,,CHEMBL1146806,Bioorg Med Chem Lett,2004,,CHEMBL340500,,CHEMBL340500,,0,http://www.openphacts.org/units/Nanomolar,235735,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2095204,Homo sapiens,Trypsin,9606,,,IC50,uM,UO_0000065,,10.0
,,37941,[],CHEMBL815474,Binding affinity against human trypsin,B,,,BAO_0000190,BAO_0000224,protein format,O=C(Cc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)Nc1ccc(N2CCCC2=O)cc1,,,CHEMBL1146806,Bioorg Med Chem Lett,2004,,CHEMBL124846,,CHEMBL124846,,0,http://www.openphacts.org/units/Nanomolar,235738,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2095204,Homo sapiens,Trypsin,9606,,,IC50,uM,UO_0000065,,10.0
,,40292,[],CHEMBL815474,Binding affinity against human trypsin,B,,,BAO_0000190,BAO_0000224,protein format,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)cc1,,,CHEMBL1146806,Bioorg Med Chem Lett,2004,,CHEMBL331231,,CHEMBL331231,,0,http://www.openphacts.org/units/Nanomolar,235737,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2095204,Homo sapiens,Trypsin,9606,,,IC50,uM,UO_0000065,,10.0
,,40298,[],CHEMBL815474,Binding affinity against human trypsin,B,,,BAO_0000190,BAO_0000224,protein format,O=C(Cc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)Nc1ccc(N2CCCCC2=O)cc1,,,CHEMBL1146806,Bioorg Med Chem Lett,2004,,CHEMBL124705,,CHEMBL124705,,0,http://www.openphacts.org/units/Nanomolar,235739,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2095204,Homo sapiens,Trypsin,9606,,,IC50,uM,UO_0000065,,10.0
,,41463,[],CHEMBL815474,Binding affinity against human trypsin,B,,,BAO_0000190,BAO_0000224,protein format,CC1CC(=O)NN=C1c1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1,,,CHEMBL1146806,Bioorg Med Chem Lett,2004,,CHEMBL333113,,CHEMBL333113,,0,http://www.openphacts.org/units/Nanomolar,235712,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2095204,Homo sapiens,Trypsin,9606,,,IC50,uM,UO_0000065,,10.0
,,42696,[],CHEMBL815474,Binding affinity against human trypsin,B,,,BAO_0000190,BAO_0000224,protein format,O=C(COc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)Nc1ccc(N2CCOCC2=O)cc1,,,CHEMBL1146806,Bioorg Med Chem Lett,2004,,CHEMBL123151,,CHEMBL123151,,0,http://www.openphacts.org/units/Nanomolar,235716,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2095204,Homo sapiens,Trypsin,9606,,,IC50,uM,UO_0000065,,10.0
,,42702,[],CHEMBL815474,Binding affinity against human trypsin,B,,,BAO_0000190,BAO_0000224,protein format,Cc1cc(NC(=O)CCc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1N1CCOCC1=O,,,CHEMBL1146806,Bioorg Med Chem Lett,2004,,CHEMBL124370,,CHEMBL124370,,0,http://www.openphacts.org/units/Nanomolar,235733,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2095204,Homo sapiens,Trypsin,9606,,,IC50,uM,UO_0000065,,10.0
,,43866,[],CHEMBL815474,Binding affinity against human trypsin,B,,,BAO_0000190,BAO_0000224,protein format,O=C(Cc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)NCc1ccc(N2CCOCC2=O)cc1,,,CHEMBL1146806,Bioorg Med Chem Lett,2004,,CHEMBL264876,,CHEMBL264876,,0,http://www.openphacts.org/units/Nanomolar,235714,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2095204,Homo sapiens,Trypsin,9606,,,IC50,uM,UO_0000065,,10.0
,,43872,[],CHEMBL815474,Binding affinity against human trypsin,B,,,BAO_0000190,BAO_0000224,protein format,O=C(NCc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)c1ccc(N2CCOCC2=O)cc1,,,CHEMBL1146806,Bioorg Med Chem Lett,2004,,CHEMBL125477,,CHEMBL125477,,0,http://www.openphacts.org/units/Nanomolar,235717,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2095204,Homo sapiens,Trypsin,9606,,,IC50,uM,UO_0000065,,10.0
